Reaction Type,Category,,,Reaction Type,Animals,Science,Healthy Eating,Technology,Food
disgust,Studying,,,disgust,122,114,103,110,107
dislike,Studying,,,dislike,115,113,101,95,106
scared,Studying,,,scared,132,102,100,88,101
disgust,Studying,,,interested,110,118,101,121,108
interested,Studying,,,peeking,129,112,104,116,115
peeking,Studying,,,cherish,125,103,105,114,119
cherish,Studying,,,hate,128,102,121,112,130
hate,Studying,,,love,119,119,103,96,123
peeking,Studying,,,indifferent,100,122,108,98,97
love,Studying,,,super love,123,92,116,113,89
indifferent,Studying,,,intrigued,116,111,107,87,94
scared,Studying,,,worried,121,116,95,105,100
interested,Studying,,,like,101,113,106,87,100
hate,Studying,,,heart,120,115,114,114,107
scared,Studying,,,want,122,126,111,113,110
super love,Studying,,,adore,114,118,122,129,93
peeking,Studying,,,,,,,,
indifferent,Studying,,,,,,,,
interested,Studying,,,,,,,,
intrigued,Studying,,,,,,,,
peeking,Studying,,,,,,,,
worried,Studying,,,,,,,,
like,Studying,,,,,,,,
heart,Studying,,,,,,,,
worried,Studying,,,,,,,,
hate,Studying,,,,,,,,
hate,Studying,,,,,,,,
cherish,Studying,,,,,,,,
super love,Studying,,,,,,,,
intrigued,Studying,,,,,,,,
scared,Studying,,,,,,,,
interested,Studying,,,,,,,,
indifferent,Studying,,,,,,,,
super love,Studying,,,,,,,,
disgust,Studying,,,,,,,,
super love,Studying,,,,,,,,
interested,Studying,,,,,,,,
dislike,Studying,,,,,,,,
scared,Studying,,,,,,,,
dislike,Studying,,,,,,,,
want,Studying,,,,,,,,
interested,Studying,,,,,,,,
indifferent,Studying,,,,,,,,
worried,Studying,,,,,,,,
hate,Studying,,,,,,,,
dislike,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
love,healthy eating,,,,,,,,
heart,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
worried,technology,,,,,,,,
want,technology,,,,,,,,
heart,technology,,,,,,,,
scared,technology,,,,,,,,
heart,technology,,,,,,,,
hate,technology,,,,,,,,
indifferent,technology,,,,,,,,
scared,food,,,,,,,,
interested,cooking,,,,,,,,
hate,cooking,,,,,,,,
want,cooking,,,,,,,,
peeking,cooking,,,,,,,,
dislike,cooking,,,,,,,,
love,cooking,,,,,,,,
cherish,cooking,,,,,,,,
interested,cooking,,,,,,,,
adore,cooking,,,,,,,,
like,cooking,,,,,,,,
like,cooking,,,,,,,,
cherish,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
adore,cooking,,,,,,,,
worried,cooking,,,,,,,,
peeking,cooking,,,,,,,,
dislike,cooking,,,,,,,,
dislike,cooking,,,,,,,,
intrigued,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
peeking,cooking,,,,,,,,
adore,cooking,,,,,,,,
cherish,dogs,,,,,,,,
heart,dogs,,,,,,,,
intrigued,dogs,,,,,,,,
worried,dogs,,,,,,,,
disgust,dogs,,,,,,,,
heart,dogs,,,,,,,,
hate,dogs,,,,,,,,
like,dogs,,,,,,,,
peeking,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
heart,dogs,,,,,,,,
disgust,dogs,,,,,,,,
want,dogs,,,,,,,,
interested,dogs,,,,,,,,
hate,dogs,,,,,,,,
intrigued,dogs,,,,,,,,
dislike,dogs,,,,,,,,
worried,dogs,,,,,,,,
cherish,dogs,,,,,,,,
scared,dogs,,,,,,,,
want,dogs,,,,,,,,
super love,dogs,,,,,,,,
dislike,dogs,,,,,,,,
scared,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
interested,dogs,,,,,,,,
scared,dogs,,,,,,,,
scared,dogs,,,,,,,,
interested,dogs,,,,,,,,
interested,dogs,,,,,,,,
interested,dogs,,,,,,,,
worried,dogs,,,,,,,,
scared,dogs,,,,,,,,
heart,dogs,,,,,,,,
heart,dogs,,,,,,,,
interested,dogs,,,,,,,,
heart,dogs,,,,,,,,
want,dogs,,,,,,,,
disgust,dogs,,,,,,,,
want,dogs,,,,,,,,
hate,dogs,,,,,,,,
like,dogs,,,,,,,,
love,dogs,,,,,,,,
adore,dogs,,,,,,,,
want,technology,,,,,,,,
super love,technology,,,,,,,,
heart,technology,,,,,,,,
worried,technology,,,,,,,,
adore,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
worried,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
want,soccer,,,,,,,,
hate,soccer,,,,,,,,
love,soccer,,,,,,,,
adore,soccer,,,,,,,,
cherish,soccer,,,,,,,,
super love,soccer,,,,,,,,
